Page Name,Block
1 Chronicles 21,"17. And David said unto God, Is it not I that commanded the people to be numbered? even I it is that have sinned and done evil indeed; but as for these sheep, what have they done? let thine hand, I pray thee, O LORD my God, be on me, and on my father's house; but not on thy people, that they should be plagued."
1 Chronicles 21,"18. Then the angel of the LORD commanded Gad to say to David, that David should go up, and set up an altar unto the LORD in the threshingfloor of Ornan the Jebusite."
1 Chronicles 21,"19. And David went up at the saying of Gad, which he spake in the name of the LORD."
1 Chronicles 21,"20. And Ornan turned back, and saw the angel; and his four sons with him hid themselves. Now Ornan was threshing wheat."
1 Chronicles 21,"21. And as David came to Ornan, Ornan looked and saw David, and went out of the threshingfloor, and bowed himself to David with his face to the ground."
1 Chronicles 21,"22. Then David said to Ornan, Grant me the place of this threshingfloor, that I may build an altar therein unto the LORD: thou shalt grant it me for the full price: that the plague may be stayed from the people."
1 Chronicles 21,"23. And Ornan said unto David, Take it to thee, and let my lord the king do that which is good in his eyes: lo, I give thee the oxen also for burnt offerings, and the threshing instruments for wood, and the wheat for the meat offering; I give it all."
1 Chronicles 21,"24. And king David said to Ornan, Nay; but I will verily buy it for the full price: for I will not take that which is thine for the LORD, nor offer burnt offerings without cost."
1 Chronicles 21,25. So David gave to Ornan for the place six hundred shekels of gold by weight.
1 Chronicles 21,"26. And David built there an altar unto the LORD, and offered burnt offerings and peace offerings, and called upon the LORD; and he answered him from heaven by fire upon the altar of burnt offering."
1 Chronicles 21,27. And the LORD commanded the angel; and he put up his sword again into the sheath thereof.
1 Chronicles 21,"28. At that time when David saw that the LORD had answered him in the threshingfloor of Ornan the Jebusite, then he sacrificed there."
1 Chronicles 21,"29. For the tabernacle of the LORD, which Moses made in the wilderness, and the altar of the burnt offering, were at that season in the high place at Gibeon."
1 Chronicles 21,30. But David could not go before it to enquire of God: for he was afraid because of the sword of the angel of the LORD.
1 Chronicles 22,"1. Then David said, This is the house of the LORD God, and this is the altar of the burnt offering for Israel."
1 Chronicles 22,2. And David commanded to gather together the strangers that were in the land of Israel; and he set masons to hew wrought stones to build the house of God.
1 Chronicles 22,"3. And David prepared iron in abundance for the nails for the doors of the gates, and for the joinings; and brass in abundance without weight;"
1 Chronicles 22,4. Also cedar trees in abundance: for the Zidonians and they of Tyre brought much cedar wood to David.
1 Chronicles 22,"5. And David said, Solomon my son is young and tender, and the house that is to be builded for the LORD must be exceeding magnificent, of fame and of glory throughout all countries: I will therefore now make preparation for it. So David prepared abundantly before his death."
1 Chronicles 22,"6. Then he called for Solomon his son, and charged him to build an house for the LORD God of Israel."
1 Chronicles 22,"7. And David said to Solomon, My son, as for me, it was in my mind to build an house unto the name of the LORD my God:"
1 Chronicles 22,"8. But the word of the LORD came to me, saying, Thou hast shed blood abundantly, and hast made great wars: thou shalt not build an house unto my name, because thou hast shed much blood upon the earth in my sight."
1 Chronicles 22,"9. Behold, a son shall be born to thee, who shall be a man of rest; and I will give him rest from all his enemies round about: for his name shall be Solomon, and I will give peace and quietness unto Israel in his days."
1 Chronicles 22,"10. He shall build an house for my name; and he shall be my son, and I will be his father; and I will establish the throne of his kingdom over Israel for ever."
1 Chronicles 22,"11. Now, my son, the LORD be with thee; and prosper thou, and build the house of the LORD thy God, as he hath said of thee."
1 Chronicles 22,"12. Only the LORD give thee wisdom and understanding, and give thee charge concerning Israel, that thou mayest keep the law of the LORD thy God."
1 Chronicles 22,"13. Then shalt thou prosper, if thou takest heed to fulfil the statutes and judgments which the LORD charged Moses with concerning Israel: be strong, and of good courage; dread not, nor be dismayed."
1 Chronicles 22,"14. Now, behold, in my trouble I have prepared for the house of the LORD an hundred thousand talents of gold, and a thousand thousand talents of silver; and of brass and iron without weight; for it is in abundance: timber also and stone have I prepared; and thou mayest add thereto."
1 Chronicles 22,"15. Moreover there are workmen with thee in abundance, hewers and workers of stone and timber, and all manner of cunning men for every manner of work."
1 Chronicles 22,"16. Of the gold, the silver, and the brass, and the iron, there is no number. Arise therefore, and be doing, and the LORD be with thee."
1 Chronicles 22,"17. David also commanded all the princes of Israel to help Solomon his son, saying,"
1 Chronicles 22,"18. Is not the LORD your God with you? and hath he not given you rest on every side? for he hath given the inhabitants of the land into mine hand; and the land is subdued before the LORD, and before his people."
1 Chronicles 22,"19. Now set your heart and your soul to seek the LORD your God; arise therefore, and build ye the sanctuary of the LORD God, to bring the ark of the covenant of the LORD, and the holy vessels of God, into the house that is to be built to the name of the LORD."
1 Chronicles 23,"1. So when David was old and full of days, he made Solomon his son king over Israel."
1 Chronicles 23,"2. And he gathered together all the princes of Israel, with the priests and the Levites."
1 Chronicles 23,"3. Now the Levites were numbered from the age of thirty years and upward: and their number by their polls, man by man, was thirty and eight thousand."
1 Chronicles 23,"4. Of which, twenty and four thousand were to set forward the work of the house of the LORD; and six thousand were officers and judges:"
1 Chronicles 23,"5. Moreover four thousand were porters; and four thousand praised the LORD with the instruments which I made, said David, to praise therewith."
1 Chronicles 23,"6. And David divided them into courses among the sons of Levi, namely, Gershon, Kohath, and Merari."
1 Chronicles 23,"7. Of the Gershonites were, Laadan, and Shimei."
1 Chronicles 23,"8. The sons of Laadan; the chief was Jehiel, and Zetham, and Joel, three."
1 Chronicles 23,"9. The sons of Shimei; Shelomith, and Haziel, and Haran, three. These were the chief of the fathers of Laadan."
1 Chronicles 23,"10. And the sons of Shimei were, Jahath, Zina, and Jeush, and Beriah. These four were the sons of Shimei."
1 Chronicles 23,"11. And Jahath was the chief, and Zizah the second: but Jeush and Beriah had not many sons; therefore they were in one reckoning, according to their father's house."
1 Chronicles 23,"12. The sons of Kohath; Amram, Izhar, Hebron, and Uzziel, four."
1 Chronicles 23,"13. The sons of Amram; Aaron and Moses: and Aaron was separated, that he should sanctify the most holy things, he and his sons for ever, to burn incense before the LORD, to minister unto him, and to bless in his name for ever."
1 Chronicles 23,"14. Now concerning Moses the man of God, his sons were named of the tribe of Levi."
1 Chronicles 23,"15. The sons of Moses were, Gershom, and Eliezer."
1 Chronicles 23,"16. Of the sons of Gershom, Shebuel was the chief."
1 Chronicles 23,"17. And the sons of Eliezer were, Rehabiah the chief. And Eliezer had none other sons; but the sons of Rehabiah were very many."
1 Chronicles 23,18. Of the sons of Izhar; Shelomith the chief.
1 Chronicles 23,"19. Of the sons of Hebron; Jeriah the first, Amariah the second, Jahaziel the third, and Jekameam the fourth."
1 Chronicles 23,20. Of the sons of Uzziel; Micah the first and Jesiah the second.
1 Chronicles 23,"21. The sons of Merari; Mahli, and Mushi. The sons of Mahli; Eleazar, and Kish."
1 Chronicles 23,"22. And Eleazar died, and had no sons, but daughters: and their brethren the sons of Kish took them."
1 Chronicles 23,"23. The sons of Mushi; Mahli, and Eder, and Jeremoth, three."
1 Chronicles 23,"24. These were the sons of Levi after the house of their fathers; even the chief of the fathers, as they were counted by number of names by their polls, that did the work for the service of the house of the LORD, from the age of twenty years and upward."
1 Chronicles 23,"25. For David said, The LORD God of Israel hath given rest unto his people, that they may dwell in Jerusalem for ever:"
1 Chronicles 23,"26. And also unto the Levites; they shall no more carry the tabernacle, nor any vessels of it for the service thereof."
1 Chronicles 23,27. For by the last words of David the Levites were numbered from twenty years old and above:
1 Chronicles 23,"28. Because their office was to wait on the sons of Aaron for the service of the house of the LORD, in the courts, and in the chambers, and in the purifying of all holy things, and the work of the service of the house of God;"
1 Chronicles 23,"29. Both for the shewbread, and for the fine flour for meat offering, and for the unleavened cakes, and for that which is baked in the pan, and for that which is fried, and for all manner of measure and size;"
1 Chronicles 23,"30. And to stand every morning to thank and praise the LORD, and likewise at even:"
1 Chronicles 23,"31. And to offer all burnt sacrifices unto the LORD in the sabbaths, in the new moons, and on the set feasts, by number, according to the order commanded unto them, continually before the LORD:"
1 Chronicles 23,"32. And that they should keep the charge of the tabernacle of the congregation, and the charge of the holy place, and the charge of the sons of Aaron their brethren, in the service of the house of the LORD."
1 Chronicles 24,"1. Now these are the divisions of the sons of Aaron. The sons of Aaron; Nadab, and Abihu, Eleazar, and Ithamar."
1 Chronicles 24,"2. But Nadab and Abihu died before their father, and had no children: therefore Eleazar and Ithamar executed the priest's office."
1 Chronicles 24,"3. And David distributed them, both Zadok of the sons of Eleazar, and Ahimelech of the sons of Ithamar, according to their offices in their service."
1 Chronicles 24,"4. And there were more chief men found of the sons of Eleazar than of the sons of Ithamar, and thus were they divided. Among the sons of Eleazar there were sixteen chief men of the house of their fathers, and eight among the sons of Ithamar according to the house of their fathers."
1 Chronicles 24,"5. Thus were they divided by lot, one sort with another; for the governors of the sanctuary, and governors of the house of God, were of the sons of Eleazar, and of the sons of Ithamar."
1 Chronicles 24,"6. And Shemaiah the son of Nethaneel the scribe, one of the Levites, wrote them before the king, and the princes, and Zadok the priest, and Ahimelech the son of Abiathar, and before the chief of the fathers of the priests and Levites: one principal household being taken for Eleazar, and one taken for Ithamar."
1 Chronicles 24,"7. Now the first lot came forth to Jehoiarib, the second to Jedaiah,"
1 Chronicles 24,"8. The third to Harim, the fourth to Seorim,"
1 Chronicles 24,"9. The fifth to Malchijah, the sixth to Mijamin,"
1 Chronicles 24,"10. The seventh to Hakkoz, the eighth to Abijah,"
1 Chronicles 24,"11. The ninth to Jeshuah, the tenth to Shecaniah,"
1 Chronicles 24,"12. The eleventh to Eliashib, the twelfth to Jakim,"
1 Chronicles 24,"13. The thirteenth to Huppah, the fourteenth to Jeshebeab,"
1 Chronicles 24,"14. The fifteenth to Bilgah, the sixteenth to Immer,"
1 Chronicles 24,"15. The seventeenth to Hezir, the eighteenth to Aphses,"
1 Chronicles 24,"16. The nineteenth to Pethahiah, the twentieth to Jehezekel,"
1 Chronicles 24,"17. The one and twentieth to Jachin, the two and twentieth to Gamul,"
1 Chronicles 24,"18. The three and twentieth to Delaiah, the four and twentieth to Maaziah."
1 Chronicles 24,"19. These were the orderings of them in their service to come into the house of the LORD, according to their manner, under Aaron their father, as the LORD God of Israel had commanded him."
1 Chronicles 24,20. And the rest of the sons of Levi were these: Of the sons of Amram; Shubael: of the sons of Shubael; Jehdeiah.
1 Chronicles 24,"21. Concerning Rehabiah: of the sons of Rehabiah, the first was Isshiah."
1 Chronicles 24,22. Of the Izharites; Shelomoth: of the sons of Shelomoth; Jahath.
1 Chronicles 24,"23. And the sons of Hebron; Jeriah the first, Amariah the second, Jahaziel the third, Jekameam the fourth."
1 Chronicles 24,24. Of the sons of Uzziel; Michah: of the sons of Michah; Shamir.
1 Chronicles 24,25. The brother of Michah was Isshiah: of the sons of Isshiah; Zechariah.
1 Chronicles 24,26. The sons of Merari were Mahli and Mushi: the sons of Jaaziah; Beno.
1 Chronicles 24,"27. The sons of Merari by Jaaziah; Beno, and Shoham, and Zaccur, and Ibri."
1 Chronicles 24,"28. Of Mahli came Eleazar, who had no sons."
1 Chronicles 24,29. Concerning Kish: the son of Kish was Jerahmeel.
1 Chronicles 24,"30. The sons also of Mushi; Mahli, and Eder, and Jerimoth. These were the sons of the Levites after the house of their fathers."
1 Chronicles 24,"31. These likewise cast lots over against their brethren the sons of Aaron in the presence of David the king, and Zadok, and Ahimelech, and the chief of the fathers of the priests and Levites, even the principal fathers over against their younger brethren."
1 Chronicles 25,"1. Moreover David and the captains of the host separated to the service of the sons of Asaph, and of Heman, and of Jeduthun, who should prophesy with harps, with psalteries, and with cymbals: and the number of the workmen according to their service was:"
1 Chronicles 25,"2. Of the sons of Asaph; Zaccur, and Joseph, and Nethaniah, and Asarelah, the sons of Asaph under the hands of Asaph, which prophesied according to the order of the king."
1 Chronicles 25,"3. Of Jeduthun: the sons of Jeduthun; Gedaliah, and Zeri, and Jeshaiah, Hashabiah, and Mattithiah, six, under the hands of their father Jeduthun, who prophesied with a harp, to give thanks and to praise the LORD."
1 Chronicles 25,"4. Of Heman: the sons of Heman: Bukkiah, Mattaniah, Uzziel, Shebuel, and Jerimoth, Hananiah, Hanani, Eliathah, Giddalti, and Romamtiezer, Joshbekashah, Mallothi, Hothir, and Mahazioth:"
1 Chronicles 25,"5. All these were the sons of Heman the king's seer in the words of God, to lift up the horn. And God gave to Heman fourteen sons and three daughters."
1 Chronicles 25,"6. All these were under the hands of their father for song in the house of the LORD, with cymbals, psalteries, and harps, for the service of the house of God, according to the king's order to Asaph, Jeduthun, and Heman."
1 Chronicles 25,"7. So the number of them, with their brethren that were instructed in the songs of the LORD, even all that were cunning, was two hundred fourscore and eight."
1 Chronicles 25,"8. And they cast lots, ward against ward, as well the small as the great, the teacher as the scholar."
1 Chronicles 25,"9. Now the first lot came forth for Asaph to Joseph: the second to Gedaliah, who with his brethren and sons were twelve:"
1 Chronicles 25,"10. The third to Zaccur, he, his sons, and his brethren, were twelve:"
1 Chronicles 25,"11. The fourth to Izri, he, his sons, and his brethren, were twelve:"
1 Chronicles 25,"12. The fifth to Nethaniah, he, his sons, and his brethren, were twelve:"
1 Chronicles 25,"13. The sixth to Bukkiah, he, his sons, and his brethren, were twelve:"
1 Chronicles 25,"14. The seventh to Jesharelah, he, his sons, and his brethren, were twelve:"
1 Chronicles 25,"15. The eighth to Jeshaiah, he, his sons, and his brethren, were twelve:"
1 Chronicles 25,"16. The ninth to Mattaniah, he, his sons, and his brethren, were twelve:"
1 Chronicles 25,"17. The tenth to Shimei, he, his sons, and his brethren, were twelve:"
1 Chronicles 25,"18. The eleventh to Azareel, he, his sons, and his brethren, were twelve:"
1 Chronicles 25,"19. The twelfth to Hashabiah, he, his sons, and his brethren, were twelve:"
1 Chronicles 25,"20. The thirteenth to Shubael, he, his sons, and his brethren, were twelve:"
1 Chronicles 25,"21. The fourteenth to Mattithiah, he, his sons, and his brethren, were twelve:"
1 Chronicles 25,"22. The fifteenth to Jeremoth, he, his sons, and his brethren, were twelve:"
1 Chronicles 25,"23. The sixteenth to Hananiah, he, his sons, and his brethren, were twelve:"
1 Chronicles 25,"24. The seventeenth to Joshbekashah, he, his sons, and his brethren, were twelve:"
1 Chronicles 25,"25. The eighteenth to Hanani, he, his sons, and his brethren, were twelve:"
1 Chronicles 25,"26. The nineteenth to Mallothi, he, his sons, and his brethren, were twelve:"
1 Chronicles 25,"27. The twentieth to Eliathah, he, his sons, and his brethren, were twelve:"
1 Chronicles 25,"28. The one and twentieth to Hothir, he, his sons, and his brethren, were twelve:"
1 Chronicles 25,"29. The two and twentieth to Giddalti, he, his sons, and his brethren, were twelve:"
1 Chronicles 25,"30. The three and twentieth to Mahazioth, he, his sons, and his brethren, were twelve:"
1 Chronicles 25,"31. The four and twentieth to Romamtiezer, he, his sons, and his brethren, were twelve."
1 Chronicles 26,"1. Concerning the divisions of the porters: Of the Korhites was Meshelemiah the son of Kore, of the sons of Asaph."
1 Chronicles 26,"2. And the sons of Meshelemiah were, Zechariah the firstborn, Jediael the second, Zebadiah the third, Jathniel the fourth,"
1 Chronicles 26,"3. Elam the fifth, Jehohanan the sixth, Elioenai the seventh."
1 Chronicles 26,"4. Moreover the sons of Obededom were, Shemaiah the firstborn, Jehozabad the second, Joah the third, and Sacar the fourth, and Nethaneel the fifth."
1 Chronicles 26,"5. Ammiel the sixth, Issachar the seventh, Peulthai the eighth: for God blessed him."
1 Chronicles 26,"6. Also unto Shemaiah his son were sons born, that ruled throughout the house of their father: for they were mighty men of valor."
1 Chronicles 26,"7. The sons of Shemaiah; Othni, and Rephael, and Obed, Elzabad, whose brethren were strong men, Elihu, and Semachiah."
1 Chronicles 26,"8. All these of the sons of Obededom: they and their sons and their brethren, able men for strength for the service, were threescore and two of Obededom."
1 Chronicles 26,"9. And Meshelemiah had sons and brethren, strong men, eighteen."
1 Chronicles 26,"10. Also Hosah, of the children of Merari, had sons; Simri the chief, (for though he was not the firstborn, yet his father made him the chief;)"
1 Chronicles 26,"11. Hilkiah the second, Tebaliah the third, Zechariah the fourth: all the sons and brethren of Hosah were thirteen."
1 Chronicles 26,"12. Among these were the divisions of the porters, even among the chief men, having wards one against another, to minister in the house of the LORD."
1 Chronicles 26,"13. And they cast lots, as well the small as the great, according to the house of their fathers, for every gate."
1 Chronicles 26,"14. And the lot eastward fell to Shelemiah. Then for Zechariah his son, a wise counselor, they cast lots; and his lot came out northward."
1 Chronicles 26,15. To Obededom southward; and to his sons the house of Asuppim.
1 Chronicles 26,"16. To Shuppim and Hosah the lot came forth westward, with the gate Shallecheth, by the causeway of the going up, ward against ward."
1 Chronicles 26,"17. Eastward were six Levites, northward four a day, southward four a day, and toward Asuppim two and two."
1 Chronicles 26,"18. At Parbar westward, four at the causeway, and two at Parbar."
1 Chronicles 26,"19. These are the divisions of the porters among the sons of Kore, and among the sons of Merari."
1 Chronicles 26,"20. And of the Levites, Ahijah was over the treasures of the house of God, and over the treasures of the dedicated things."
1 Chronicles 26,"21. As concerning the sons of Laadan; the sons of the Gershonite Laadan, chief fathers, even of Laadan the Gershonite, were Jehieli."
1 Chronicles 26,"22. The sons of Jehieli; Zetham, and Joel his brother, which were over the treasures of the house of the LORD."
1 Chronicles 26,"23. Of the Amramites, and the Izharites, the Hebronites, and the Uzzielites:"
1 Chronicles 26,"24. And Shebuel the son of Gershom, the son of Moses, was ruler of the treasures."
1 Chronicles 26,"25. And his brethren by Eliezer; Rehabiah his son, and Jeshaiah his son, and Joram his son, and Zichri his son, and Shelomith his son."
1 Chronicles 26,"26. Which Shelomith and his brethren were over all the treasures of the dedicated things, which David the king, and the chief fathers, the captains over thousands and hundreds, and the captains of the host, had dedicated."
1 Chronicles 26,27. Out of the spoils won in battles did they dedicate to maintain the house of the LORD.
1 Chronicles 26,"28. And all that Samuel the seer, and Saul the son of Kish, and Abner the son of Ner, and Joab the son of Zeruiah, had dedicated; and whosoever had dedicated any thing, it was under the hand of Shelomith, and of his brethren."
1 Chronicles 26,"29. Of the Izharites, Chenaniah and his sons were for the outward business over Israel, for officers and judges."
1 Chronicles 26,"30. And of the Hebronites, Hashabiah and his brethren, men of valor, a thousand and seven hundred, were officers among them of Israel on this side Jordan westward in all the business of the LORD, and in the service of the king."
1 Chronicles 26,"31. Among the Hebronites was Jerijah the chief, even among the Hebronites, according to the generations of his fathers. In the fortieth year of the reign of David they were sought for, and there were found among them mighty men of valor at Jazer of Gilead."
1 Chronicles 26,"32. And his brethren, men of valor, were two thousand and seven hundred chief fathers, whom king David made rulers over the Reubenites, the Gadites, and the half tribe of Manasseh, for every matter pertaining to God, and affairs of the king."
1 Chronicles 27,"1. Now the children of Israel after their number, to wit, the chief fathers and captains of thousands and hundreds, and their officers that served the king in any matter of the courses, which came in and went out month by month throughout all the months of the year, of every course were twenty and four thousand."
1 Chronicles 27,2. Over the first course for the first month was Jashobeam the son of Zabdiel: and in his course were twenty and four thousand.
1 Chronicles 27,3. Of the children of Perez was the chief of all the captains of the host for the first month.
1 Chronicles 27,"4. And over the course of the second month was Dodai an Ahohite, and of his course was Mikloth also the ruler: in his course likewise were twenty and four thousand."
1 Chronicles 27,"5. The third captain of the host for the third month was Benaiah the son of Jehoiada, a chief priest: and in his course were twenty and four thousand."
1 Chronicles 27,"6. This is that Benaiah, who was mighty among the thirty, and above the thirty: and in his course was Ammizabad his son."
1 Chronicles 27,"7. The fourth captain for the fourth month was Asahel the brother of Joab, and Zebadiah his son after him: and in his course were twenty and four thousand."
1 Chronicles 27,8. The fifth captain for the fifth month was Shamhuth the Izrahite: and in his course were twenty and four thousand.
1 Chronicles 27,9. The sixth captain for the sixth month was Ira the son of Ikkesh the Tekoite: and in his course were twenty and four thousand.
1 Chronicles 27,"10. The seventh captain for the seventh month was Helez the Pelonite, of the children of Ephraim: and in his course were twenty and four thousand."
1 Chronicles 27,"11. The eighth captain for the eighth month was Sibbecai the Hushathite, of the Zarhites: and in his course were twenty and four thousand."
1 Chronicles 27,"12. The ninth captain for the ninth month was Abiezer the Anetothite, of the Benjamites: and in his course were twenty and four thousand."
1 Chronicles 27,"13. The tenth captain for the tenth month was Maharai the Netophathite, of the Zarhites: and in his course were twenty and four thousand."
1 Chronicles 27,"14. The eleventh captain for the eleventh month was Benaiah the Pirathonite, of the children of Ephraim: and in his course were twenty and four thousand."
1 Chronicles 27,"15. The twelfth captain for the twelfth month was Heldai the Netophathite, of Othniel: and in his course were twenty and four thousand."
1 Chronicles 27,"16. Furthermore over the tribes of Israel: the ruler of the Reubenites was Eliezer the son of Zichri: of the Simeonites, Shephatiah the son of Maachah:"
1 Chronicles 27,"17. Of the Levites, Hashabiah the son of Kemuel: of the Aaronites, Zadok:"
1 Chronicles 27,"18. Of Judah, Elihu, one of the brethren of David: of Issachar, Omri the son of Michael:"
1 Chronicles 27,"19. Of Zebulun, Ishmaiah the son of Obadiah: of Naphtali, Jerimoth the son of Azriel:"
1 Chronicles 27,"20. Of the children of Ephraim, Hoshea the son of Azaziah: of the half tribe of Manasseh, Joel the son of Pedaiah:"
1 Chronicles 27,"21. Of the half tribe of Manasseh in Gilead, Iddo the son of Zechariah: of Benjamin, Jaasiel the son of Abner:"
1 Chronicles 27,"22. Of Dan, Azareel the son of Jeroham. These were the princes of the tribes of Israel."
1 Chronicles 27,23. But David took not the number of them from twenty years old and under: because the LORD had said he would increase Israel like to the stars of the heavens.
1 Chronicles 27,"24. Joab the son of Zeruiah began to number, but he finished not, because there fell wrath for it against Israel; neither was the number put in the account of the chronicles of king David."
1 Chronicles 27,"25. And over the king's treasures was Azmaveth the son of Adiel: and over the storehouses in the fields, in the cities, and in the villages, and in the castles, was Jehonathan the son of Uzziah:"
1 Chronicles 27,26. And over them that did the work of the field for tillage of the ground was Ezri the son of Chelub:
1 Chronicles 27,27. And over the vineyards was Shimei the Ramathite: over the increase of the vineyards for the wine cellars was Zabdi the Shiphmite:
1 Chronicles 27,28. And over the olive trees and the sycamore trees that were in the low plains was Baalhanan the Gederite: and over the cellars of oil was Joash:
1 Chronicles 27,29. And over the herds that fed in Sharon was Shitrai the Sharonite: and over the herds that were in the valleys was Shaphat the son of Adlai:
1 Chronicles 27,30. Over the camels also was Obil the Ishmaelite: and over the asses was Jehdeiah the Meronothite:
1 Chronicles 27,31. And over the flocks was Jaziz the Hagerite. All these were the rulers of the substance which was king David's.
1 Chronicles 27,"32. Also Jonathan David's uncle was a counselor, a wise man, and a scribe: and Jehiel the son of Hachmoni was with the king's sons:"
1 Chronicles 27,33. And Ahithophel was the king's counselor: and Hushai the Archite was the king's companion:
1 Chronicles 27,"34. And after Ahithophel was Jehoiada the son of Benaiah, and Abiathar: and the general of the king's army was Joab."
1 Chronicles 28,"1. And David assembled all the princes of Israel, the princes of the tribes, and the captains of the companies that ministered to the king by course, and the captains over the thousands, and captains over the hundreds, and the stewards over all the substance and possession of the king, and of his sons, with the officers, and with the mighty men, and with all the valiant men, unto Jerusalem."
1 Chronicles 28,"2. Then David the king stood up upon his feet, and said, Hear me, my brethren, and my people: As for me, I had in mine heart to build an house of rest for the ark of the covenant of the LORD, and for the footstool of our God, and had made ready for the building:"
1 Chronicles 28,"3. But God said unto me, Thou shalt not build an house for my name, because thou hast been a man of war, and hast shed blood."
1 Chronicles 28,"4. Howbeit the LORD God of Israel chose me before all the house of my father to be king over Israel for ever: for he hath chosen Judah to be the ruler; and of the house of Judah, the house of my father; and among the sons of my father he liked me to make me king over all Israel:"
1 Chronicles 28,"5. And of all my sons, (for the LORD hath given me many sons,) he hath chosen Solomon my son to sit upon the throne of the kingdom of the LORD over Israel."
1 Chronicles 28,"6. And he said unto me, Solomon thy son, he shall build my house and my courts: for I have chosen him to be my son, and I will be his father."
1 Chronicles 28,"7. Moreover I will establish his kingdom for ever, if he be constant to do my commandments and my judgments, as at this day."
1 Chronicles 28,"8. Now therefore in the sight of all Israel the congregation of the LORD, and in the audience of our God, keep and seek for all the commandments of the LORD your God: that ye may possess this good land, and leave it for an inheritance for your children after you for ever."
1 Chronicles 28,"9. And thou, Solomon my son, know thou the God of thy father, and serve him with a perfect heart and with a willing mind: for the LORD searcheth all hearts, and understandeth all the imaginations of the thoughts: if thou seek him, he will be found of thee; but if thou forsake him, he will cast thee off for ever."
1 Chronicles 28,"10. Take heed now; for the LORD hath chosen thee to build an house for the sanctuary: be strong, and do it."
1 Chronicles 28,"11. Then David gave to Solomon his son the pattern of the porch, and of the houses thereof, and of the treasuries thereof, and of the upper chambers thereof, and of the inner parlors thereof, and of the place of the mercy seat,"
1 Chronicles 28,"12. And the pattern of all that he had by the spirit, of the courts of the house of the LORD, and of all the chambers round about, of the treasuries of the house of God, and of the treasuries of the dedicated things:"
1 Chronicles 28,"13. Also for the courses of the priests and the Levites, and for all the work of the service of the house of the LORD, and for all the vessels of service in the house of the LORD."
1 Chronicles 28,"14. He gave of gold by weight for things of gold, for all instruments of all manner of service; silver also for all instruments of silver by weight, for all instruments of every kind of service:"
1 Chronicles 28,"15. Even the weight for the candlesticks of gold, and for their lamps of gold, by weight for every candlestick, and for the lamps thereof: and for the candlesticks of silver by weight, both for the candlestick, and also for the lamps thereof, according to the use of every candlestick."
1 Chronicles 28,"16. And by weight he gave gold for the tables of shewbread, for every table; and likewise silver for the tables of silver:"
1 Chronicles 28,"17. Also pure gold for the fleshhooks, and the bowls, and the cups: and for the golden basins he gave gold by weight for every basin; and likewise silver by weight for every basin of silver:"
1 Chronicles 28,"18. And for the altar of incense refined gold by weight; and gold for the pattern of the chariot of the cherubim, that spread out their wings, and covered the ark of the covenant of the LORD."
1 Chronicles 28,"19. All this, said David, the LORD made me understand in writing by his hand upon me, even all the works of this pattern."
1 Chronicles 28,"20. And David said to Solomon his son, Be strong and of good courage, and do it: fear not, nor be dismayed: for the LORD God, even my God, will be with thee; he will not fail thee, nor forsake thee, until thou hast finished all the work for the service of the house of the LORD."
1 Chronicles 28,"21. And, behold, the courses of the priests and the Levites, even they shall be with thee for all the service of the house of God: and there shall be with thee for all manner of workmanship every willing skillful man, for any manner of service: also the princes and all the people will be wholly at thy commandment."
1 Chronicles 29,"1. Furthermore David the king said unto all the congregation, Solomon my son, whom alone God hath chosen, is yet young and tender, and the work is great: for the palace is not for man, but for the LORD God."
1 Chronicles 29,"2. Now I have prepared with all my might for the house of my God the gold for things to be made of gold, and the silver for things of silver, and the brass for things of brass, the iron for things of iron, and wood for things of wood; onyx stones, and stones to be set, glistering stones, and of divers colors, and all manner of precious stones, and marble stones in abundance."
1 Chronicles 29,"3. Moreover, because I have set my affection to the house of my God, I have of mine own proper good, of gold and silver, which I have given to the house of my God, over and above all that I have prepared for the holy house."
1 Chronicles 29,"4. Even three thousand talents of gold, of the gold of Ophir, and seven thousand talents of refined silver, to overlay the walls of the houses withal:"
1 Chronicles 29,"5. The gold for things of gold, and the silver for things of silver, and for all manner of work to be made by the hands of artificers. And who then is willing to consecrate his service this day unto the LORD?"
1 Chronicles 29,"6. Then the chief of the fathers and princes of the tribes of Israel and the captains of thousands and of hundreds, with the rulers of the king's work, offered willingly,"
1 Chronicles 29,"7. And gave for the service of the house of God of gold five thousand talents and ten thousand drams, and of silver ten thousand talents, and of brass eighteen thousand talents, and one hundred thousand talents of iron."
1 Chronicles 29,"8. And they with whom precious stones were found gave them to the treasure of the house of the LORD, by the hand of Jehiel the Gershonite."
1 Chronicles 29,"9. Then the people rejoiced, for that they offered willingly, because with perfect heart they offered willingly to the LORD: and David the king also rejoiced with great joy."
1 Chronicles 29,"10. Wherefore David blessed the LORD before all the congregation: and David said, Blessed be thou, LORD God of Israel our father, for ever and ever."
1 Chronicles 29,"11. Thine, O LORD is the greatness, and the power, and the glory, and the victory, and the majesty: for all that is in the heaven and in the earth is thine; thine is the kingdom, O LORD, and thou art exalted as head above all."
1 Chronicles 29,"12. Both riches and honor come of thee, and thou reignest over all; and in thine hand is power and might; and in thine hand it is to make great, and to give strength unto all."
1 Chronicles 29,"13. Now therefore, our God, we thank thee, and praise thy glorious name."
1 Chronicles 29,"14. But who am I, and what is my people, that we should be able to offer so willingly after this sort? for all things come of thee, and of thine own have we given thee."
